"ID_INDIV","GENDER","DAY","pa_gral","na_gral","V1RelSat"
3311,"male",56,3.3,2,6.33333333333333
3311,"male",57,4.1,1.2,6.33333333333333
3312,"female",1,3.2,1,6.33333333333333
3312,"female",2,2.9,1,6.33333333333333
3312,"female",3,3.3,1,6.33333333333333
3312,"female",4,3.2,1,6.33333333333333
3312,"female",5,2.7,1,6.33333333333333
3312,"female",6,3.4,1,6.33333333333333
3312,"female",7,3.5,1.1,6.33333333333333
3312,"female",8,3.1,1.3,6.33333333333333
3312,"female",9,3.1,1.1,6.33333333333333
3312,"female",10,3.1,1.1,6.33333333333333
3312,"female",11,2.3,1.6,6.33333333333333
3312,"female",12,3.1,1.1,6.33333333333333
3312,"female",13,3.4,1.1,6.33333333333333
3312,"female",14,3.6,1.1,6.33333333333333
3312,"female",15,3.1,1.2,6.33333333333333
3312,"female",16,3.3,1.4,6.33333333333333
3312,"female",17,3.3,1.1,6.33333333333333
3312,"female",18,2.5,1.2,6.33333333333333
3312,"female",19,3,1,6.33333333333333
3312,"female",20,3.1,1.8,6.33333333333333
3312,"female",21,3,1,6.33333333333333
3312,"female",22,3.2,1,6.33333333333333
3312,"female",23,3.6,1.1,6.33333333333333
3312,"female",24,3.5,1,6.33333333333333
3312,"female",25,3.6,1.1,6.33333333333333
3312,"female",26,3,1,6.33333333333333
3312,"female",27,3.1,1.3,6.33333333333333
3312,"female",28,3.4,1,6.33333333333333
3312,"female",29,3.1,1.2,6.33333333333333
3312,"female",30,3.1,1.5,6.33333333333333
3312,"female",31,2.9,1,6.33333333333333
3312,"female",32,3.2,1,6.33333333333333
3312,"female",33,3.1,1.1,6.33333333333333
3312,"female",34,3.4,1,6.33333333333333
3312,"female",35,3.4,1.2,6.33333333333333
3312,"female",36,3.4,1.1,6.33333333333333
3312,"female",37,3.5,1.2,6.33333333333333
3312,"female",38,3.4,1.1,6.33333333333333
3312,"female",39,3.6,1.3,6.33333333333333
3312,"female",40,3.6,1,6.33333333333333
3312,"female",41,3.1,1,6.33333333333333
3312,"female",42,3.6,1,6.33333333333333
3312,"female",43,2.8,1,6.33333333333333
3312,"female",44,4,1,6.33333333333333
3312,"female",45,3.7,1,6.33333333333333
3312,"female",46,3.9,1,6.33333333333333
3312,"female",47,4,1.4,6.33333333333333
3312,"female",48,4.1,1,6.33333333333333
3312,"female",49,4.3,1,6.33333333333333
3312,"female",50,4.4,1,6.33333333333333
3312,"female",51,4.1,1,6.33333333333333
3312,"female",52,4.3,1,6.33333333333333
3312,"female",53,4.1,1.1,6.33333333333333
3312,"female",54,3.6,1.1,6.33333333333333
3312,"female",55,3.1,1.4,6.33333333333333
3312,"female",56,3.1,1,6.33333333333333
3312,"female",57,3.5,1,6.33333333333333
3331,"female",1,2.2,1.9,6.5
3331,"female",2,2.6,1.5,6.5
3331,"female",3,1.9,2.7,6.5
3331,"female",4,2.4,1.3,6.5
3331,"female",5,1.5,2.3,6.5
3331,"female",6,2.7,1.2,6.5
3331,"female",7,2.5,1.3,6.5
3331,"female",8,1.7,1.3,6.5
3331,"female",9,1.9,1.3,6.5
3331,"female",10,3,1.3,6.5
3331,"female",11,2.6,1.1,6.5
3331,"female",12,2.2,1.1,6.5
3331,"female",13,1.9,1.3,6.5
3331,"female",14,1.8,1.3,6.5
3331,"female",15,1.8,1.6,6.5
3331,"female",16,2.1,2.2,6.5
